매물ID,제조사,모델,등급,연식,주행km,연료,차체,시도,판매가,잔존율
41259930,현대,팰리세이드,디젤 2.2 4WD,2019.0,58622.0,디젤,SUV,경기,2690.0,61.0
40994302,현대,올 뉴 투싼,디젤 2.0 2WD,2017.0,113637.0,디젤,SUV,경기,1130.0,44.9
41689985,현대,올 뉴 투싼,디젤 2.0 2WD,2019.0,125182.0,디젤,SUV,경기,1559.0,54.8
41026149,현대,팰리세이드,디젤 2.2 2WD,2022.0,50828.0,디젤,SUV,경기,3330.0,78.1
40762381,현대,그랜드 스타렉스,11인승 왜건,2015.0,132494.0,디젤,승합차,경기,850.0,37.2
41717803,현대,싼타페 TM,디젤 2.2 4WD,2019.0,96562.0,디젤,SUV,경기,2240.0,52.9
41596149,현대,더 뉴 팰리세이드,디젤 2.2 2WD,2024.0,31521.0,디젤,SUV,경기,3899.0,89.7
41237139,현대,팰리세이드,디젤 2.2 2WD,2022.0,75950.0,디젤,SUV,경기,2420.0,64.4
40882251,현대,팰리세이드,디젤 2.2 2WD,2022.0,54899.0,디젤,SUV,경기,3490.0,81.9
41007645,현대,더 뉴 그랜저 IG,2.5,2021.0,145173.0,가솔린,대형차,경기,2030.0,49.4
41094926,현대,팰리세이드,디젤 2.2 2WD,2019.0,136519.0,디젤,SUV,경기,1990.0,54.9
41471708,현대,팰리세이드,디젤 2.2 2WD,2022.0,116013.0,디젤,SUV,경기,2700.0,56.6
41332950,현대,맥스크루즈,디젤(e-VGT) 2.2 2WD 익스클루시브,2015.0,102967.0,디젤,SUV,경기,1150.0,30.7
40938656,현대,팰리세이드,디젤 2.2 2WD,2022.0,51182.0,디젤,SUV,경기,3290.0,68.9
41718160,현대,싼타페 더 프라임,디젤 2.0 2WD,2016.0,118089.0,디젤,SUV,경기,1120.0,38.2
40955920,현대,더 뉴 그랜드 스타렉스,웨건 12인승,2021.0,65478.0,디젤,승합차,경기,1930.0,79.1
41770664,현대,더 뉴 i40,1.7 VGT,2016.0,88859.0,디젤,중형차,경기,1250.0,39.0
41374147,현대,더 뉴 팰리세이드,디젤 2.2 2WD,2023.0,43620.0,디젤,SUV,경기,3650.0,79.7
41477036,현대,팰리세이드,디젤 2.2 2WD,2021.0,70914.0,디젤,SUV,경기,3299.0,61.9
41689934,현대,스타리아,4WD 라운지 7인승,2023.0,53658.0,디젤,승합차,경기,4300.0,68.9
41718963,현대,팰리세이드,디젤 2.2 4WD,2022.0,78454.0,디젤,SUV,경기,3070.0,68.3
41783655,현대,그랜드 스타렉스,4WD 어린이보호차,2015.0,129589.0,디젤,승합차,경기,1070.0,
41303472,현대,팰리세이드,디젤 2.2 4WD,2021.0,106736.0,디젤,SUV,경기,3270.0,65.3
41769167,현대,팰리세이드,디젤 2.2 2WD,2019.0,111204.0,디젤,SUV,경기,2370.0,56.7
41324892,현대,팰리세이드,디젤 2.2 4WD,2022.0,82530.0,디젤,SUV,경기,3099.0,61.9
41665944,현대,팰리세이드,디젤 2.2 4WD,2022.0,33667.0,디젤,SUV,경기,3550.0,70.9
41369925,현대,팰리세이드,디젤 2.2 2WD,2022.0,36615.0,디젤,SUV,경기,3299.0,69.1
41630980,현대,스타리아,4WD 투어러 11인승,2023.0,32073.0,디젤,승합차,경기,2890.0,85.9
41546568,현대,베라크루즈,디젤 4WD 300VX,2010.0,159542.0,디젤,SUV,경기,600.0,13.6
41613289,현대,팰리세이드,디젤 2.2 2WD,2022.0,45375.0,디젤,SUV,경기,2720.0,63.8
41621561,현대,싼타페 TM,디젤 2.0 4WD,2019.0,102454.0,디젤,SUV,경기,1770.0,50.2
40558145,현대,제네시스,BH330 럭셔리,2012.0,181561.0,가솔린,대형차,경기,450.0,9.1
41711451,현대,팰리세이드,가솔린 3.8 4WD,2019.0,51721.0,가솔린,SUV,경기,2200.0,51.6
41689922,현대,싼타페 더 프라임,디젤 2.0 2WD,2016.0,126118.0,디젤,SUV,경기,1230.0,42.0
41000870,현대,팰리세이드,디젤 2.2 2WD,2022.0,150958.0,디젤,SUV,경기,2100.0,55.9
41720733,현대,팰리세이드,디젤 2.2 4WD,2022.0,98007.0,디젤,SUV,경기,2530.0,63.4
41641134,현대,더 뉴 그랜저 IG,3.3,2021.0,45461.0,가솔린,대형차,경기,1990.0,55.5
41828702,현대,싼타페 TM,디젤 2.2 4WD,2020.0,61038.0,디젤,SUV,경기,2590.0,63.3
41608864,현대,팰리세이드 (LX3),가솔린 2.5T 2WD 9인승,2025.0,8600.0,가솔린,SUV,경기,3548.0,71.9
41536597,현대,싼타페 CM,2WD(2.0 e-VGT) MLX,2011.0,245272.0,디젤,SUV,경기,290.0,9.8
41365850,현대,팰리세이드,디젤 2.2 2WD,2022.0,76866.0,디젤,SUV,경기,2890.0,60.5
41365336,현대,스타리아,4WD 투어러 9인승,2022.0,113597.0,디젤,승합차,경기,2690.0,82.0
40955968,현대,더 뉴 그랜드 스타렉스,웨건 11인승,2019.0,47323.0,디젤,승합차,경기,1830.0,
41803765,현대,팰리세이드,디젤 2.2 4WD,2019.0,55649.0,디젤,SUV,경기,2650.0,60.1
